TITLE,FROM DATE,TO DATE,DEVELOPER,PLATFORM,REGION OF ORIGIN,LECTURE
Spacewar!,1962,1962,Steve Russell & Martin Gaertz,PDP-1,USA,Action
Pong,1972,1972,Al Alcorn w. Atari,Arcade,USA,Action
Space Invaders,1978,1978,Tomohiro Nishikado w. Taito,Arcade,Japan,Action
Centipede,1980,1980,Dona Bailey & Ed Logg w. Atari,Arcade,USA,Action
Pac-Man,1980,1980,Toru Iwatani w. Namco,Arcade,Japan,Action
Super Mario (series) *,1985,1985,Shigeru Miyamoto w. Nintendo,Famicom (NES),Japan,Action
Mega Man (series) *,1987,2010,Keiji Inafune w. Capcom,Famicom (NES),Japan,Action
Raiden,1990,1990,Seibu Kaihatsu,Arcade,Japan,Action
God Hand,2006,2006,Shinji Mikami w. Capcom,Playstation 2,Japan,Action
Super Hexagon,2012,2012,Terry Cavanagh,iOS,England,Action
Adventure (2600),1979,1979,Warren Robinett w. Atari,Atari 2600,USA,Action-Adventure
The Legend of Zelda (series),1986,1986,Shigeru Miyamoto w. Nintendo,Famicom Disk System,Japan,Action-Adventure
Metal Gear (series),1987,1987,Hideo Kojima w. Konami,MSX 2,Japan,Action-Adventure
Another World,1991,1991,Eric Chahi,Amiga,France,Action-Adventure
Tomb Raider (series),1996,1996,Core Design,Sega Saturn,England,Action-Adventure
Castlevania: Symphony of the Night,1997,1997,Koji Igarashi w. Konami,Playstation,Japan,Action-Adventure
Grand Theft Auto (series),1997,1997,Rockstar Games,Playstation,USA & Scotland,Action-Adventure
Dark Souls,2011,2011,Hidetaka Miyazaki w. FromSoftware,"XBox360, PS3",Japan,Action-Adventure
Colossal Cave Adventure*,1977,1977,Will Crowther & Don Woods,PDP-10,USA,Adventure
King’s Quest (series),1983,1998,Roberta Williams w. Sierra On-Line,IBM PC Jr.,USA,Adventure
Plundered Hearts,1987,1987,Amy Briggs w. Infocom,"Commodore 64, Apple II, etc.",USA,Adventure
Monkey Island (series),1990,1990,Ron Gilbert w. LucasArts,PC,USA,Adventure
Myst *,1993,1993,"Rand & Robin Miller, w. Cyan",PC,USA,Adventure
Angelique (series),1994,1994,Ruby Party w. Koei,Super Famicom,Japan,Adventure
Rockett’s New School,1997,1997,Brenda Laurel w. Purple Moon,PC,USA,Adventure
The Walking Dead*,2012,2012,Telltale Games,PC,USA,Adventure
Alien Hominid,2004,2004,Dan Paladin w. The Behemoth,"PS2, GameCube",USA,Contemporary
Cave Story,2004,2004,Daisuke 'Pixel' Amaya,PC,Japan,Contemporary
Spelunky,2008,2008,Derek Yu w. Mossmouth,PC,USA,Contemporary
The Graveyard,2008,2008,Tale of Tales,PC,Belgium,Contemporary
Farmville,2009,2009,Zynga,Facebook,USA,Contemporary
Train,2009,2009,Brenda Romero,Board Game,USA,Contemporary
JS Joust,2011,2011,Copenhagen Game Collective,Physical Game w. Move controllers,Denmark,Contemporary
Minecraft,2011,2011,Markus ‘Notch’ Persson w. Mojang,PC,Sweden,Contemporary
Analog: A Hate Story,2012,2012,Christine Love,"PC, Mac, Linux",USA,Contemporary
Howling Dogs,2012,2012,Porpentine,Twine,USA,Contemporary
Journey,2012,2012,thatgamecompany,PS3,USA,Contemporary
Flappy Bird,2013,2013,Dong Nguyen,iOS,Vietnam,Contemporary
Gone Home,2013,2013,Fullbright,PC,USA,Contemporary
Cibele,2015,2015,Nina Freeman,PC,USA,Contemporary
Boxing,1743,1743,Jack Broughton,Combat Sport,England,Fighting
Fencing,1763,1763,Domenico Angelo,Combat Sport,England,Fighting
Mixed Martial Arts,1920,1920,"Carlos & Helio Gracie, et al.",Combat Sport,Brazil,Fighting
Kyokushin Karate,1950,1950,Masutatsu ‘Mas’ Oyama,Combat Sport,Japan,Fighting
Street Fighter (series),1987,1987,Capcom,Arcade,Japan,Fighting
Tekken (series),1994,1994,Namco,Arcade,Japan,Fighting
Bushido Blade,1997,1997,Light Weight,Playstation,Japan,Fighting
Super Smash Bros. (series) *,1999,1999,Masahiro Sakurai w. Nintendo,Nintendo 64,Japan,Fighting
Maze War,1974,1974,"Steve Colley, Greg Thompson",Imlac PDS-1,USA,First Person Shooters
Doom *,1993,1993,id Software,PC,USA,First Person Shooters
GoldenEye 007,1997,1997,Rare,Nintendo 64,England,First Person Shooters
Half-Life (series) *,1998,1998,Valve,PC,USA,First Person Shooters
Counter-Strike,1999,1999,Minh ‘Gooseman’ Le & Jess Cliffe,PC,Canada,First Person Shooters
Halo (series),2001,2001,"Bungie, et al.",XBox,USA,First Person Shooters
Call of Duty: Modern Warfare (series)*,2007,2007,"Infinity Ward, et al.","Xbox 360, PS3",USA,First Person Shooters
Portal,2007,2007,Valve,"PC, Xbox 360",USA,First Person Shooters
Poker,1800,1800,Unknown,Card Game,USA,Modern Board and Card
Monopoly,1906,1906,Elizabeth ‘Lizzie’ Magie,Board Game,USA,Modern Board and Card
Contract Bridge,1925,1925,Harold Vanderbilt,Card Game,International Waters,Modern Board and Card
Diplomacy,1959,1959,Allan B. Calhamer,Board Game,USA,Modern Board and Card
Set,1974,1974,Marsha Falco,Card Game,USA,Modern Board and Card
Jenga,1983,1983,Leslie Scott,Tower Game,England,Modern Board and Card
Magic: The Gathering,1993,1993,Richard Garfield,Trading Card Game,USA,Modern Board and Card
